Point2D [x = 0.5210364035066881, y = -2.9089803251311706]
Point2D [x = 0.5211686002091709, y = -2.906492593530369]
Point2D [x = 0.5213087741520204, y = -2.9038545052930007]
Point2D [x = 0.5214574146750439, y = -2.90105712029834]
Point2D [x = 0.521615040474343, y = -2.8980909851319745]
Point2D [x = 0.5217822013463954, y = -2.8949461059180535]
Point2D [x = 0.5219594800310574, y = -2.891611920006923]
Point2D [x = 0.5221474941586047, y = -2.8880772665093457]
Point2D [x = 0.5223468983061273, y = -2.8843303556748614]
Point2D [x = 0.5225583861687904, y = -2.880358737119297]
Point2D [x = 0.5227826928516655, y = -2.87614926691515]
Point2D [x = 0.5230205972880279, y = -2.8716880735686234]
Point2D [x = 0.5232729247901919, y = -2.866960522918686]
Point2D [x = 0.5235405497391331, y = -2.8619511820068064]
Point2D [x = 0.5238243984193012, y = -2.8566437819811474]
Point2D [x = 0.5241254520051755, y = -2.851021180116166]
Point2D [x = 0.5244447497062354, y = -2.845065321047976]
Point2D [x = 0.5247833920771242, y = -2.838757197347665]
Point2D [x = 0.5251425444998528, y = -2.8320768095792097]
Point2D [x = 0.5255234408449373, y = -2.8250031260159707]
Point2D [x = 0.5259273873183616, y = -2.817514042220112]
Point2D [x = 0.5263557665012145, y = -2.809586340722928]
Point2D [x = 0.5268100415887583, y = -2.8011956510811804]
Point2D [x = 0.527291760835529, y = -2.7923164106253022]
Point2D [x = 0.5278025622128457, y = -2.7829218262599067]
Point2D [x = 0.5283441782848085, y = -2.7729838377255795]
Point2D [x = 0.5289184413084737, y = -2.7624730827835107]
Point2D [x = 0.5295272885634098, y = -2.751358864841197]
Point2D [x = 0.5301727679152407, y = -2.7396091235981905]
Point2D [x = 0.5308570436170595, y = -2.7271904093555532]
Point2D [x = 0.5315824023517423, y = -2.714067861701132]
Point2D [x = 0.5323512595171773, y = -2.7002051933546114]
Point2D [x = 0.5331661657552539, y = -2.6855646800311037]
Point2D [x = 0.5340298137240914, y = -2.670107157259096]
Point2D [x = 0.5349450451114355, y = -2.6537920251671023]
Point2D [x = 0.5359148578853704, y = -2.636577262332228]
Point2D [x = 0.5369424137764929, y = -2.6184194498617743]
Point2D [x = 0.5380310459834299, y = -2.5992738069543253]
Point2D [x = 0.5391842670910633, y = -2.5790942392575587]
Point2D [x = 0.5404057771880101, y = -2.5578334014040474]
Point2D [x = 0.5416994721668043, y = -2.5354427751608797]
Point2D [x = 0.5430694521868044, y = -2.511872764671057]
Point2D [x = 0.5445200302761122, y = -2.487072810290879]
Point2D [x = 0.546055741044714, y = -2.460991522534106]
Point2D [x = 0.5476813494766483, y = -2.4335768376164437]
Point2D [x = 0.5494018597642624, y = -2.4047761960482807]
Point2D [x = 0.5512225241425475, y = -2.3745367456449133]
Point2D [x = 0.5531488516761509, y = -2.34280557020666]
Point2D [x = 0.5551866169459763, y = -2.3095299449613367]
Point2D [x = 0.5573418685763235, y = -2.274657619653504]
Point2D [x = 0.5596209375373286, y = -2.2381371299040156]
Point2D [x = 0.5620304451510844, y = -2.1999181371454726]
Point2D [x = 0.5645773107233245, y = -2.1599517970607023]
Point2D [x = 0.5672687587159941, y = -2.1181911560099227]
Point2D [x = 0.5701123253695107, y = -2.074591574426739]
Point2D [x = 0.5731158646771266, y = -2.0291111755942133]
Point2D [x = 0.5762875536076579, y = -1.981711317582738]
Point2D [x = 0.5796358964670698, y = -1.9323570854465426]
Point2D [x = 0.5831697282841426, y = -1.881017800043444]
Point2D [x = 0.5868982171008427, y = -1.8276675390740793]
Point2D [x = 0.5908308650442405, y = -1.7722856651468037]
Point2D [x = 0.5949775080540362, y = -1.714857354880683]
Point2D [x = 0.5993483141381305, y = -1.6553741222828782]
Point2D [x = 0.6039537800284084, y = -1.593834328902843]
Point2D [x = 0.6088047261101349, y = -1.530243672601506]
Point2D [x = 0.6139122895012832, y = -1.4646156462086601]
Point2D [x = 0.6192879151628565, y = -1.3969719569070567]
Point2D [x = 0.6249433449279688, y = -1.3273428969084664]
Point2D [x = 0.6308906043462119, y = -1.2557676559053481]
Point2D [x = 0.6371419872507426, y = -1.1822945659193733]
Point2D [x = 0.6437100379685919, y = -1.1069812695482661]
Point2D [x = 0.6506075311099471, y = -1.0298948032527324]
Point2D [x = 0.6578474488895042, y = -0.9511115882356448]
Point2D [x = 0.6654429559523638, y = -0.8707173226470543]
Point2D [x = 0.6734073716981613, y = -0.7888067702917101]
Point2D [x = 0.6817541401200032, y = -0.7054834427002128]
Point2D [x = 0.6904967971990551, y = -0.6208591733189084]
Point2D [x = 0.6996489359209996, y = -0.5350535846342315]
Point2D [x = 0.7092241690067103, y = -0.44819345122124915]
Point2D [x = 0.7192360894759968, y = -0.3604119639318072]
Point2D [x = 0.7296982291897752, y = -0.2718479026466337]
Point2D [x = 0.7406240155420836, y = -0.18264472713597477]
Point2D [x = 0.7520267264985953, y = -0.09294959753224391]
Point2D [x = 0.7639194442022703, y = -0.002912337646023097]
Point2D [x = 0.7763150073891434, y = 0.08731564420988375]
Point2D [x = 0.7892259628776286, y = 0.17758246113866455]
